,K/9,BB/9,LOB%,ERA,FIP,pWAR,OBP,SLG,wOBA,Off,WAR,W
2018SFG,7.815465937,3.227190032,0.7234116,3.953923666,3.979546603,14.10623858,0.299506578,0.367803645,0.2895652489,-134.8237135,7.438838336,73
2021MIN,8.351104502,3.069046757,0.68853686,4.831846341,4.657352236,6.840230861,0.314106789,0.423494752,0.3175350102,11.2110259,21.98967366,73
2022LAA,8.669840573,3.385187209,0.73047702,3.786394581,3.960817426,16.46620885,0.297092925,0.390189931,0.3001207008,-50.1414604,10.90703218,73
2023LAA,9.083819004,3.998137638,0.7061466,4.639348391,4.651315191,11.33131798,0.316862361,0.426124977,0.3199746923,-3.844889896,15.83684966,73
2011FLA,7.50993449,3.082895932,0.7150283,3.952272584,3.787204125,15.32754795,0.317597265,0.388344226,0.3111776291,-56.06131945,13.76524834,72
2011PIT,6.402254242,3.322217284,0.7368754,4.04875826,4.201789291,8.549051462,0.308617234,0.367644346,0.2989097469,-103.100584,7.292048557,72
2012KCR,7.298806469,3.361047669,0.72425178,4.297428108,4.176905127,15.08249052,0.316511513,0.399929027,0.311055508,-50.82491872,12.55089602,72
2017ATL,7.855227571,3.646623928,0.70122281,4.720629606,4.505003406,8.959423495,0.326023391,0.412428366,0.3156380264,-87.84632196,14.27530658,72
2019LAA,8.758780731,3.593345941,0.70949918,5.115527208,5.041874685,7.532785792,0.32403399,0.421869361,0.3164541591,-36.41045664,16.53859303,72
2019CHW,8.358660461,3.707881393,0.71297042,4.905616276,4.890979888,13.21717184,0.314238134,0.413998914,0.3091487058,-67.44101703,9.583437623,72
2011KCR,6.697290162,3.454065389,0.71512435,4.446256524,4.268381291,10.65427601,0.328663446,0.415021156,0.3248809267,4.512706835,19.62046639,71
2011CHC,7.680223581,3.639321632,0.71320182,4.342087188,4.110908083,10.97993263,0.314271588,0.400792935,0.3135352471,-80.17520658,14.15813093,71
2011SDP,7.072907614,3.235280831,0.74458114,3.427783145,3.72984816,15.14734104,0.304839514,0.348532398,0.2896498105,-77.24022691,15.02068271,71
2013SEA,7.967918607,2.936518962,0.70723873,4.318771612,3.886079686,15.7343974,0.305564594,0.389528607,0.3067878101,-41.14584684,10.12099359,71
2014BOS,7.44848833,2.959745569,0.7180761,4.009779785,3.925747811,10.5581361,0.315501127,0.368582237,0.3045815161,-82.93335739,17.45399032,71
2015MIA,7.265592773,3.203924591,0.72325233,4.036440429,3.980825778,12.20684853,0.309954368,0.383671975,0.301514118,-67.25375953,15.34507139,71
2016PHI,8.135699754,2.918580512,0.70488499,4.640918797,4.344890293,13.90531684,0.300706357,0.384615384,0.2959933879,-135.3486999,7.572608195,71
2017SDP,8.335275498,3.485088774,0.71114709,4.699208149,4.677910068,7.914384686,0.298881735,0.393390589,0.2975304581,-132.5153776,9.21114972,71
